index,en,zh-tw
299,finite number of values,有限數量的值
300,number addition,加號
301,real time digital signal,實時數字信號
302,shirt values,襯衫價值觀
303,switching sequence,切換順序
304,time controller digital,時間控制器數字
305,time controller digital signal,時間控制器數字信號
306,time controller signal,時間控制器信號
307,time digital,時間數字
308,time digital controller signal,時間數字控制器信號
309,time sheet,時間表
310,time signal,時間信號
311,amplification,放大
312,amplifiers,放大器
313,channel time,頻道時間
314,coarse frequency estimation,粗略頻率估計
315,digital equalization,數字均衡
316,domain equalization,域均衡
317,domain formula,域公式
318,forcing equalizer,強制均衡器
319,frequency domain equalization,頻域均衡
320,frequency evaluation,頻率評估
321,large number,大數字
322,one tap equalizer,一鍵均衡器
323,time equalization,時間均衡
324,time equalizer,時間均衡器
325,time machine,時間機器
326,transversal filter,橫向過濾器
327,value calculator,價值計算器
328,value equalizer,價值均衡器
329,waiting time,等待的時間
330,wide number,寬數
331,wide range,大範圍
332,wide types,廣泛的類型
333,build layers,構建層
334,build surfaces,構建表面
335,conveyor system,輸送系統
336,cutter paths,刀具路徑
337,drill tool path,鑽孔工具路徑
338,generally,一般來說
339,geometric sequence,幾何序列
340,guideway,導軌
341,interface layers,接口層
342,interface surfaces,界面表面
343,liner drilling operation,尾管鑽井作業
344,machining process,加工過程
345,manufacturing sintered metal objects,製造燒結金屬物體
346,overland flow path,陸上流動路徑
347,path for tool movement,刀具運動路徑
348,path of the tools,工具路徑
349,precisely,恰恰
350,production of metal balls,金屬球的生產
351,software tool,軟件工具
352,surgical tool kit,手術工具包
353,tool tax,工具稅
354,toolpath,刀具路徑
355,toolpaths,刀具路徑
356,traffic path,交通路徑
357,ultrafine metal powder,超細金屬粉末
358,credit card tool,信用卡工具
359,fuel line,輸油線
360,passport booklet,護照本
361,path of blood through the heart,血液通過心臟的路徑
362,path system,路徑系統
363,rotationally molded container,旋轉成型容器
364,tool card,工具卡
365,tool path,刀具路徑
366,tool paths,刀具路徑
367,tool pathway,工具路徑
368,tool position,刀具位置
369,tool system,工具系統
370,tools path,工具路徑
371,tools paths,工具路徑
372,cutter path,刀路
373,tool instructions,工具說明
374,gear parts,齒輪零件
375,gear teeth,齒輪齒
376,human tooth arrangement shape,人牙排列形狀
377,human tooth with a dental prosthesis,有假牙的人牙
378,mechanical slide ring shaft seal,機械滑環軸封
379,ring type plates,環形板
380,rotor chambers,轉子室
381,rotor gear teeth,轉子齒輪齒
382,rotor spaces,轉子空間
383,spaces,空間
384,spaces of the tooth,牙齒間隙
385,stator,定子
386,tooth decay,蛀牙
387,tooth enamel,牙釉質
388,tooth grooves,齒槽
389,tooth pain,牙疼
390,tooth slots,齒槽
391,tooth spaces,齒隙
392,tooth system,牙齒系統
393,tooth,齒
394,extracting tooth,拔牙
395,internal toothing,內齒
396,measuring pins,測量銷
397,open spaces,開放空間
398,opposed tooth spaces,對置齒隙
399,opposite tooth spaces,對面牙槽
400,rim teeth place,輪輞牙齒的地方
401,smooth bore,光滑的孔
402,smooth edges,光滑的邊緣
403,smooth sidewall,光滑的側壁
404,space force,太空部隊
405,space x,空間 x
406,teeth position,牙齒位置
407,tooth gaps,牙縫
408,tooth location,牙齒位置
409,tooth space,齒隙
410,keeper,門將
411,lifting surfaces,提升面
412,base board,基板
413,bottom surface member,底面構件
414,cover panel,蓋板
415,cover wall,蓋牆
416,covers,蓋子
417,inner recessed surface,內凹面
418,member top surface,構件頂面
419,member top wall,成員頂牆
420,outer face,外表面
421,rib member,肋骨
422,semiconductor substrate support means,半導體襯底支撐裝置
423,semiconductor substrate supporting means,半導體襯底支撐裝置
424,stand wall,立牆
425,substrate support,基板支撐
426,substrate support means,基板支撐裝置
427,substrate supporting means,基板支撐裝置
428,support panel member,支持小組成員
429,support sheet,支持表
430,support substrate,支撐基板
431,supporting substrate,支撐基板
432,terminal edge,終端邊緣
433,top angle photos,頂角照片
434,top cross member,頂部橫梁
435,top edge flange,上邊緣法蘭
436,top panel,頂部面板
437,top plate member,頂板構件
438,top roof design,頂部屋頂設計
439,top view,頂視圖
440,top wall,頂牆
441,upper floor portion,樓上部分
442,boundary temperatures,邊界溫度
443,critical parameter,關鍵參數
444,environmental characteristics,環境特徵
445,human energy,人類能量
446,information database,信息數據庫
447,location detector,位置探測器
448,misalignment,錯位
449,neglect temperature,忽略溫度
450,physiological characteristics,生理特徵
451,physiological information,生理信息
452,record temperature,記錄溫度
453,temperature degree celsius,溫度攝氏度
454,temperature in fahrenheit,華氏溫度
455,temperature trend,溫度趨勢
456,trace temperature,微量溫度
457,track degree celsius,跟踪攝氏度
458,track fahrenheit,追踪華氏度
459,track heat,跟踪熱量
460,track package,追踪包裹
461,tracking id,跟踪號碼
462,tracking number,追踪號碼
463,ambient temperature,環境溫度
464,analyze temperature,分析溫度
465,collect,蒐集
466,collect accurate,收集準確
467,collect area,收集區
468,collect product,收集產品
469,detect,探測
470,detect temperature,檢測溫度
471,detect temperatures,檢測溫度
472,measure temperature,測量溫度
473,measure temperatures,測量溫度
474,obtain accurate,獲得準確的
475,obtain product,獲得產品
476,product mapping,產品映射
477,rating of transformer,變壓器額定值
478,system tracking,系統跟踪
479,temperature path,溫度路徑
480,temperature rating,額定溫度
481,thermal reading,熱讀數
482,trace temp,跟踪溫度
483,track c,軌道c
484,track consignment,跟踪寄售
485,track heating,軌道加熱
486,tracking application,跟踪應用程序
487,warmth,溫暖
488,apply onto glass substrate,塗在玻璃基板上
489,coated onto surface,塗在表面上
490,deposit onto medium,沉積到介質上
491,direct onto substrate,直接在基材上
492,dyed polymer coated articles,染色聚合物塗層製品
493,electrostatic coating gun,靜電噴塗槍
494,inject onto substrate,注入基板
495,irradiate onto substrate,照射到基材上
496,money transfer,匯款
497,move onto substrate,移動到基板上
498,multi purpose shower head,多功能淋浴頭
499,released from substrate,從基材釋放
0,substrate level phosphorylation,底物水平磷酸化
1,substrate transfer chamber,基板傳送室
2,transfer data,傳輸數據
3,transfer from carrier substrate,從載體基板轉移
4,transfer onto layer,轉移到層
5,transfer onto substrate,轉移到基材上
6,transfer onto substratum,轉移到基質上
7,transfer theorem,轉移定理
8,transfer to receiving substrate,轉移到接收基板
9,transfering system,傳輸系統
10,transferring to substrate,轉移到基材
11,transport onto substrate,運輸到基材上
12,pass onto substrate,傳遞到基板上
13,printing mold preparation device,印刷模具準備裝置
14,printing plate,版
15,substrate level phosphorylation in bacteria,細菌中底物水平的磷酸化
16,substrate milk,基質奶
17,substrate transfer apparatus,基板傳送裝置
18,substrate transfer medium,基材轉移介質
19,transfer onto wooden substrate,轉移到木質基材上
20,transfer the risk score for theft,轉移盜竊風險評分
21,transfer to substrate,轉移到基板
22,transferring system,傳輸系統
23,bipolar junction transistors,雙極結型晶體管
24,charge operation,充電操作
25,charge transistor,電荷晶體管
26,decompose material,分解材料
27,depletion type device,耗盡型裝置
28,m1 m6,米1米6
29,m3 model cutter,m3模型刀具
30,mos fe,莫非
31,mos fe transistor,鉬三極管
32,mos fet,場效應管
33,mos transistor,MOS晶體管
34,motor m6,m6發動機
35,npn transistor,npn晶體管
36,pnp transistor,pnp晶體管
37,power darlington,電力達靈頓
38,schottky diode,肖特基二極管
39,switch m1,開關 m1
40,switch m3,開關 m3
41,transistor fe,三極管
42,transistor fet,場效應管
43,transistor m1,晶體管m1
44,transistor m2,晶體管m2
45,transistor m3,晶體管m3
46,vmos device,vmos 設備
47,coefficient disk,係數盤
48,concrete,具體的
49,concrete tower,混凝土塔
50,distal connecting portion,遠端連接部分
51,duct of tendons,腱管
52,exhaust transition,排氣過渡
53,extending part,延伸部分
54,fabrication of building,建築物的製造
55,flared member,喇叭形成員
56,goldmember,黃金會員
57,intermediate tube,中間管
58,lateral edges,側邊
59,member variable,成員變量
60,non transition member,非過渡成員
61,passage member,通道成員
62,plurality anchors,多個錨點
63,plurality of anchors,多個錨點
64,plurality of tendons,多個肌腱
65,plurality tendons,複數肌腱
66,portion tracker,部分跟踪器
67,proximal shaft tube,近端軸管
68,steel tower,鋼塔
69,tower,塔
70,transit tunnel,過境隧道
71,transition piece,過渡件
72,tube light,燈管
73,communication mode transition,通信方式轉換
74,conference members,會議成員
75,exhaust transition member,排氣過渡件
76,exhaust tube,排氣管
77,logic transition communication,邏輯轉換通信
78,member communication reply score,會員溝通回複評分
79,member exhaust housing,成員排氣罩
80,member exhaust manifold,成員排氣歧管
81,members in transition,過渡成員
82,rotary guide disc,旋轉導向盤
83,shaft shelf,軸架
84,transition,過渡
85,transition member,過渡成員
86,transition part,過渡部分
87,transition wall,過渡牆
88,tubular transition member,管狀過渡構件
89,hollow transition member,中空過渡構件
90,transition assembly,過渡組件
91,transition joint,過渡接頭
92,transition members,過渡成員
93,transitional member,過渡成員
94,bells,鐘聲
95,camera assembly,相機總成
96,certificate letter,證書信
97,contacts sender,聯繫發件人
98,fire indicator,火災指示器
99,monitoring circuits,監控電路
100,preliminary warning transfer,初步預警轉移
101,send audible siren,發送聲音警報
102,transfer certificate letter,轉讓證明信
103,transfer money,划款
104,transmission of alarm signals,報警信號的傳輸
105,transmit alarm message,發送報警信息
106,transmit alarm signal,發送報警信號
107,transmit warning,發送警告
108,transmitting departure alarm,發射離場警報
109,warning transfer,警告轉移
110,air receive,空氣接收
111,alarm clock,鬧鐘
112,alarm message transmission,報警信息傳輸
113,alarm reception,報警接收
114,alarming module,報警模塊
115,audible siren,警笛聲
116,buzzar,蜂鳴器
117,display indicator,顯示指示器
118,oil lamp,油燈
119,receive alarm,接收警報
120,send data,發送數據
121,send its time,發送時間
122,send the time,發送時間
123,send time,發送時間
124,signaling device,信號裝置
125,transmit data,傳輸數據
126,transmit the time,傳遞時間
127,transmit time,傳輸時間
128,warning lamp signal,警示燈信號
129,warning light,警告燈
130,warning receiver,警告接收器
131,zone bells,區域鐘聲
132,communicate over interface,通過接口進行通信
133,disease transmission,疾病傳播
134,fiber optic transmission,光纖傳輸
135,forwarding over interface,接口轉發
136,network key,網絡密鑰
137,over bridge,過橋
138,over coat,大衣
139,over take,接管
140,parallel road,平行路
141,parallel transmission,並行傳輸
142,send over interface,通過接口發送
143,send via interface,通過接口發送
144,sending over interface,通過接口發送
145,serial peripheral interface,串行外設接口
146,serial transmission,串行傳輸
147,transmission over network,網絡傳輸
148,transmit data over a network,通過網絡傳輸數據
149,transmit framer,發送成幀器
150,transmit from interface,從接口傳輸
151,transmit from network interface,從網絡接口傳輸
152,transmit interface,傳輸接口
153,transmit over bus,通過總線傳輸
154,transmit over network,通過網絡傳輸
155,transmit over path,通過路徑傳輸
156,transmit over system,通過系統傳輸
157,transmit via interface,通過接口傳輸
158,transmit via system,通過系統傳輸
159,transmitted over a bi directional communication network,通過雙向通信網絡傳輸
